,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,month_name_added,year_added,listed_in_1,listed_in_2,listed_in_3,duration_seasons
4257,TV Show,Selection Day,Data not available,"Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi",India,2018-12-28,2018,TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,12,December,2018,International TV Shows, TV Dramas, Teen TV Shows,1
4260,TV Show,Stand Up and Away! with Brian Regan,Data not available,Brian Regan,United States,2018-12-24,2018,TV-PG,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Brian Regan blends his trademark observational stand-up with short sketches and a bit of audience interaction in this hybrid comedy series.,12,December,2018,Stand-Up Comedy & Talk Shows, TV Comedies,0,1
4261,TV Show,Way Back into Love,Data not available,"June Tsai, Ray Chang, Lung Shao-hua, Yi-Wen Yen, Ching-kuan Wang, Mai Sato",Taiwan,2018-12-24,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","After years in the U.S., a Taiwanese immigrant returns to her hometown with a young daughter in tow to assist her father with his bed-and-breakfast.",12,December,2018,International TV Shows, Romantic TV Shows, TV Comedies,1
4262,TV Show,Watership Down,Noam Murro,"James McAvoy, Nicholas Hoult, John Boyega, Ben Kingsley, Tom Wilkinson, Gemma Arterton, Peter Capaldi, Olivia Colman, Mackenzie Crook, Anne-Marie Duff, Taron Egerton, James Faulkner, Freddie Fox, Lee Ingleby, Miles Jupp, Daniel Kaluuya, Rory Kinnear, Craig Parkinson, Rosamund Pike, Daniel Rigby, Jason Watkins","United Kingdom, Ireland, United States",2018-12-23,2018,TV-PG,1 Season,"British TV Shows, International TV Shows, TV Action & Adventure",A warren of rabbits battles many threats on their daring journey to find a new home in this adaptation of the classic novel by Richard Adams.,12,December,2018,British TV Shows, International TV Shows, TV Action & Adventure,1
4263,TV Show,Demon's Path,Data not available,"Wai Ai, Jim Chim Sui Man, Kwok-Pong Chan, Felix Lok, Sham Ka Ki, Elanne Kong, Kate Yeung, Ong Yi-hing, Sunny Lau",United States,2018-12-22,2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",12,December,2018,Crime TV Shows, International TV Shows, TV Dramas,1
4264,TV Show,People Just Do Nothing,Data not available,"Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis",United Kingdom,2018-12-22,2018,TV-MA,5 Seasons,"British TV Shows, TV Comedies",Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.,12,December,2018,British TV Shows, TV Comedies,0,5
4265,TV Show,Single Ladies Senior,Data not available,"Summer Meng, Christina Mok, Alina Cheng, Bonnie Wang",United States,2018-12-22,2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Four best friends and spirited career women navigate the treacherous world of romance – even as it stands in the way of work and friendship.,12,December,2018,International TV Shows, Romantic TV Shows, TV Dramas,1
4266,TV Show,7 Days Out,Data not available,Data not available,United States,2018-12-21,2018,TV-PG,1 Season,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",12,December,2018,Docuseries,0,0,1
4269,TV Show,Jojo's World,Data not available,"Tia Lee, In Deok Hwang, Yen-j, Jason Hsu, Andy Wu, Sharon Hsu",Taiwan,2018-12-21,2017,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Diagnosed with a condition that could make her infertile, a career woman must choose one of four bachelors to make a baby with before time runs out.",12,December,2018,International TV Shows, Romantic TV Shows, TV Comedies,1
4270,TV Show,LAST HOPE,Data not available,"Tomoaki Maeno, Kana Hanazawa, Kenjiro Tsuda, Nao Toyama, Yuma Uchida, Unsho Ishizuka, Yuuichirou Umehara, Ai Kayano",Japan,2018-12-21,2018,TV-14,2 Seasons,"Anime Series, International TV Shows","After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.",12,December,2018,Anime Series, International TV Shows,0,2
4271,TV Show,Lion Pride,Data not available,"Yen Tsao, Amanda Chou, Kevin Liu, Peace Yang, Kenny Wen, Tzu-chiang Chao, Vince Kao, Lin Ching-Tai, Lin He Xuan, Michael Yang",Taiwan,2018-12-21,2017,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","After crossing paths at a crime scene, a renowned math teacher and an antiques appraiser embark on an unexpected journey of love and self-discovery.",12,December,2018,International TV Shows, Romantic TV Shows, TV Comedies,1
4272,TV Show,Love @ Seventeen,Data not available,"Lego Lee, Nikki Hsin-Ying Hsieh, Edison Wang, Amanda Chou",Taiwan,2018-12-21,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Radically changed by a misunderstanding 13 years ago, a biotech expert runs into an old flame and suffers an illness that takes her back to the past.",12,December,2018,International TV Shows, Romantic TV Shows, TV Dramas,1
4273,TV Show,Perfume,Data not available,"Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski, Ken Duken, Trystan Pütter, Christian Friedel, Juergen Maurer, Marc Hosemann, Susanne Wuest",Germany,2018-12-21,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.",12,December,2018,Crime TV Shows, International TV Shows, TV Dramas,1
4274,TV Show,Sirius the Jaeger,Data not available,"Yuto Uemura, Takahiro Sakurai, Kenyu Horiuchi, Nanako Mori, Yusuke Kobayashi, Shunsuke Takeuchi, Junji Majima, Rie Takahashi, Hinata Tadokoro, Kenjiro Tsuda, Takehito Koyasu, Sayaka Ohara, Nobuo Tobita",Japan,2018-12-21,2018,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers","In imperial Tokyo, a group calling themselves ""Jaegers"" secretly hunt the vampires seeking the Ark of Sirius. Among them is young werewolf, Yuliy.",12,December,2018,Anime Series, International TV Shows, TV Thrillers,1
4276,TV Show,Wolf,Data not available,"Ahu Türkpençe, Serkan Çayoğlu, Murat Arkin, Emir Benderlioğlu, Firat Doğruloğlu, Ahmet Pinar, Mesut Akusta",Turkey,2018-12-21,2018,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Tasked with risky missions across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home.",12,December,2018,International TV Shows, TV Action & Adventure, TV Dramas,1
4279,TV Show,Fate/stay night: Unlimited Blade Works,Data not available,"Noriaki Sugiyama, Kana Ueda, Ayako Kawasumi, Junichi Suwabe, Noriko Shitaya, Mai Kadowaki, Masaki Terasoma, Nobutoshi Canna, Atsuko Tanaka, Shinichiro Miki, Yuu Asakawa, Miki Ito, Hiroshi Kamiya, Jouji Nakata, Tomokazu Seki",Japan,2018-12-20,2015,TV-14,2 Seasons,"Anime Series, International TV Shows",High school students Rin and Shiro pair up as allies when they're chosen to compete in a secret tournament for possession of the Holy Grail.,12,December,2018,Anime Series, International TV Shows,0,2
4284,TV Show,Ellen DeGeneres: Relatable,"Joel Gallen, Tig Notaro",Ellen DeGeneres,United States,2018-12-18,2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt – and hilarious – lessons she's learned along the way.",12,December,2018,Stand-Up Comedy & Talk Shows, TV Comedies,0,1
4288,TV Show,Ashes of Love,Data not available,"Yang Zi, Deng Lun, Luo Yunxi",China,2018-12-16,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Hidden away by her mother, the Floral Goddess, the naïve Jinmi is drawn to Xufeng, the Heavenly Emperor's son. Yet forces conspire against them.",12,December,2018,International TV Shows, Romantic TV Shows, TV Comedies,1
4290,TV Show,DreamWorks Holiday Classics,Data not available,"Ben Stiller, David Schwimmer, Chris Rock, Jada Pinkett Smith, Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Eddie Murphy, Mike Myers, Antonio Banderas, Cameron Diaz",United States,2018-12-16,2011,TV-PG,1 Season,"Kids' TV, TV Comedies","Join your DreamWorks friends for these four holiday specials, featuring Shrek and Donkey, Hiccup and Toothless, and the wacky animals from Madagascar.",12,December,2018,Kids' TV, TV Comedies,0,1
4296,TV Show,Flowers,Data not available,"Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter",United Kingdom,2018-12-15,2018,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","Between a troubled marriage, a senile granny and twin siblings constantly in rivalry, a crumbling household struggles to barely keep it together.",12,December,2018,British TV Shows, International TV Shows, TV Comedies,2
4304,TV Show,Hymn of Death,Data not available,"Lee Jong-suk, Shin Hye-sun, Kim Myeong-su, Park Seon-im, Kim Won-hae, Hwang Yeong-hee, Lee Ji-hoon, Go Bo-gyeol, Shin Jae-ha",South Korea,2018-12-14,2018,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","During the Japanese colonial period, married playwright Kim U-jin falls in love with soprano Yun Sim-deok, one of Korea’s notable New Women.",12,December,2018,International TV Shows, Korean TV Shows, Romantic TV Shows,1
4305,TV Show,Inside the Real Narcos,Data not available,Jason Fox,United States,2018-12-14,2018,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Exposing a rarely seen perspective on the drug wars, ex-Special Forces commando Jason Fox interviews dangerous traffickers and cartel members.",12,December,2018,British TV Shows, Crime TV Shows, Docuseries,1
4307,TV Show,The Fix,Data not available,"Jimmy Carr, D.L. Hughley, Katherine Ryan",United States,2018-12-14,2018,TV-MA,1 Season,TV Comedies,"Comedians Jimmy Carr, D.L. Hughley and Katherine Ryan tackle the world's woes with help from a rotating crew of funny guests and an actual expert.",12,December,2018,TV Comedies,0,0,1
4308,TV Show,The Innocent Man,Data not available,John Grisham,United States,2018-12-14,2018,TV-MA,1 Season,"Crime TV Shows, Docuseries","This documentary adaptation of John Grisham's only nonfiction book raises troubling questions about two murder cases in Ada, Oklahoma, in the 1980s.",12,December,2018,Crime TV Shows, Docuseries,0,1
4309,TV Show,Tidelands,Data not available,"Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden",Australia,2018-12-14,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.",12,December,2018,Crime TV Shows, International TV Shows, TV Dramas,1
4310,TV Show,Travelers,Data not available,"Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore","Canada, United States",2018-12-14,2018,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas","A federal agent tracks four people who suddenly seem to possess entirely new personalities, leading to a startling discovery about humanity's future.",12,December,2018,Crime TV Shows, International TV Shows, TV Dramas,3
4311,TV Show,Voltron: Legendary Defender,Data not available,"Jeremy Shada, Tyler Labine, Bex Taylor-Klaus, Josh Keaton, Steven Yeun, Kimberly Brooks, Rhys Darby, A.J. LoCascio",United States,2018-12-14,2018,TV-Y7,8 Seasons,Kids' TV,"In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.",12,December,2018,Kids' TV,0,0,8
4312,TV Show,Back Street Girls -GOKUDOLS-,Data not available,"Daisuke Ono, Satoshi Hino, Kazuyuki Okitsu, Yuka Nukui, Kaori Maeda, Hikaru Akao, Junichi Suwabe, Keiji Fujiwara",Japan,2018-12-12,2018,TV-MA,1 Season,"Anime Series, International TV Shows","To pay for an epic blunder, three yakuza brothers are forced to alter their bodies, form a girl group and break into the underground J-Pop idol scene.",12,December,2018,Anime Series, International TV Shows,0,1
4316,TV Show,Dogs of Berlin,Data not available,"Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler",Germany,2018-12-07,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",12,December,2018,Crime TV Shows, International TV Shows, TV Dramas,1
4320,TV Show,Neo Yokio,Data not available,"Jaden Smith, Jude Law, Tavi Gevinson, Susan Sarandon, Desus Nice, The Kid Mero, Richard Ayoade, Willow Smith, Kiernan Shipka, Jason Schwartzman, Amandla Stenberg, Ray Wise",United States,2018-12-07,2018,TV-MA,2 Seasons,"TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows","Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",12,December,2018,TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows,2
4321,TV Show,Pine Gap,Mat King,"Parker Sawyers, Jacqueline McKenzie, Steve Toussaint, Tess Haubrich, Stephen Curry, Lewis Fitz-Gerald, Mark Leonard Winter",Australia,2018-12-07,2018,TV-MA,1 Season,"International TV Shows, TV Dramas","At top-secret U.S.-Australian joint defense facility Pine Gap, fissures appear in the critical alliance as spies work with, and against, each other.",12,December,2018,International TV Shows, TV Dramas,0,1
4326,TV Show,The Sound of Your Heart: Reboot,Data not available,"Sung Hoon, Kwon Yuri, Tae Hang-ho, Joo Jin-mo, Shim Hye-jin, Ji Su-won, Park Cheol-min, Kim Seong-won, Kang Yoon, Seo Eun-ah, Bae Yoon-kyung",South Korea,2018-12-03,2018,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, TV Comedies","Webtoonist Cho Seok is back with more anecdotes of mix-ups, unintended antics, and bathroom blunders in this reboot starring an all-new cast.",12,December,2018,International TV Shows, Korean TV Shows, TV Comedies,2
4327,TV Show,Memories of the Alhambra,Data not available,"Hyun Bin, Park Shin-hye, Park Hoon, Kim Yong-rim, Chanyeol, Lee Re, Lee Hak Joo, Lee Si-won, Kim Eui-sung",South Korea,2018-12-02,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","While looking for the cryptic creator of an innovative augmented-reality game, an investment firm executive meets a woman who runs a hostel in Spain.",12,December,2018,Crime TV Shows, International TV Shows, Korean TV Shows,1
4340,TV Show,Haunted House,Data not available,"Jo Hyun-jung, Gim Young-eun, Gim Chae-ha, I So Eun, Choe Jae-ho",United States,2018-12-01,2017,TV-G,1 Season,"Kids' TV, Korean TV Shows","With help from a 102-year-old goblin dwelling beneath their haunted apartment building, two siblings deal with ghosts and take on spooky mysteries.",12,December,2018,Kids' TV, Korean TV Shows,0,1
4350,TV Show,1983,Data not available,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States",2018-11-30,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",11,November,2018,Crime TV Shows, International TV Shows, TV Dramas,1
